timestamp,service,endpoint,response_time_ms,status_code,error
2026-01-01 00:01:41,auth,/login,85,200,False
2026-01-01 00:01:52,auth,/register,134,200,False
2026-01-01 00:01:53,auth,/login,77,200,False
2026-01-01 00:02:19,auth,/register,154,200,False
2026-01-01 00:03:04,events,/create,117,200,False
2026-01-01 00:03:14,events,/delete,54,200,False
2026-01-01 00:03:24,events,/create,97,200,False
2026-01-01 00:03:35,auth,/reset-password,159,200,False
2026-01-01 00:03:55,events,/list,144,200,False
2026-01-01 00:04:21,auth,/login,51,200,False
2026-01-01 00:04:28,auth,/register,146,200,False
2026-01-01 00:04:29,auth,/login,117,200,False
2026-01-01 00:05:00,events,/list,48,200,False
2026-01-01 00:05:05,events,/create,112,200,False
2026-01-01 00:05:05,events,/list,95,200,False
2026-01-01 00:05:07,payments,/history,135,200,False
2026-01-01 00:05:07,auth,/login,49,200,False
2026-01-01 00:05:17,auth,/logout,45,200,False
2026-01-01 00:05:27,auth,/login,56,200,False
2026-01-01 00:05:44,auth,/login,65,200,False
2026-01-01 00:05:51,events,/list,147,200,False
2026-01-01 00:06:09,payments,/verify,100,200,False
2026-01-01 00:06:16,payments,/history,149,200,False
2026-01-01 00:06:20,auth,/logout,27,200,False
2026-01-01 00:07:06,auth,/login,55,200,False
2026-01-01 00:07:10,events,/update,79,200,False
2026-01-01 00:07:37,auth,/reset-password,354,200,False
2026-01-01 00:08:14,auth,/login,65,200,False
2026-01-01 00:08:39,payments,/checkout,273,200,False
2026-01-01 00:09:04,events,/list,124,200,False
2026-01-01 00:09:39,events,/list,100,200,False
2026-01-01 00:09:51,events,/create,73,200,False
2026-01-01 00:09:55,events,/update,47,200,False
2026-01-01 00:10:05,payments,/checkout,169,200,False
2026-01-01 00:10:23,auth,/login,56,200,False
2026-01-01 00:10:29,events,/list,93,200,False
2026-01-01 00:10:47,auth,/register,120,200,False
2026-01-01 00:11:02,auth,/logout,32,200,False
2026-01-01 00:11:30,auth,/login,101,200,False
2026-01-01 00:11:34,events,/delete,66,200,False
2026-01-01 00:11:44,events,/list,80,200,False
2026-01-01 00:11:52,auth,/login,46,200,False
2026-01-01 00:12:22,auth,/login,65,200,False
2026-01-01 00:12:32,auth,/logout,13,200,False
2026-01-01 00:13:14,auth,/register,263,200,False
2026-01-01 00:13:20,auth,/login,73,200,False
2026-01-01 00:13:31,payments,/checkout,296,200,False
2026-01-01 00:13:52,events,/delete,60,200,False
2026-01-01 00:13:58,events,/create,142,200,False
2026-01-01 00:14:07,auth,/register,100,200,False
2026-01-01 00:14:36,events,/list,84,200,False
2026-01-01 00:14:44,auth,/login,60,500,True
2026-01-01 00:14:59,events,/list,98,200,False
2026-01-01 00:15:12,auth,/login,49,200,False
2026-01-01 00:15:54,auth,/register,196,200,False
2026-01-01 00:16:08,events,/create,92,200,False
2026-01-01 00:16:20,auth,/logout,30,200,False
2026-01-01 00:16:25,events,/list,166,200,False
2026-01-01 00:17:24,auth,/login,102,200,False
2026-01-01 00:17:25,auth,/login,38,200,False
2026-01-01 00:17:27,events,/update,92,200,False
2026-01-01 00:17:46,auth,/login,125,200,False
2026-01-01 00:18:16,auth,/register,93,200,False
2026-01-01 00:18:47,auth,/login,77,200,False
2026-01-01 00:18:57,auth,/reset-password,153,200,False
2026-01-01 00:19:10,payments,/history,234,200,False
2026-01-01 00:19:23,events,/update,86,200,False
2026-01-01 00:19:27,auth,/login,89,200,False
2026-01-01 00:19:56,auth,/login,73,200,False
2026-01-01 00:20:10,payments,/checkout,292,200,False
2026-01-01 00:20:13,payments,/history,148,200,False
2026-01-01 00:20:16,payments,/history,92,200,False
2026-01-01 00:20:26,payments,/checkout,448,200,False
2026-01-01 00:20:31,auth,/logout,27,200,False
2026-01-01 00:20:38,auth,/register,132,200,False
2026-01-01 00:21:25,events,/create,101,200,False
2026-01-01 00:21:43,payments,/verify,221,200,False
2026-01-01 00:21:54,auth,/login,102,200,False
2026-01-01 00:21:57,auth,/login,60,200,False
2026-01-01 00:22:13,events,/create,76,200,False
2026-01-01 00:22:14,events,/list,67,200,False
2026-01-01 00:22:31,auth,/login,82,200,False
2026-01-01 00:22:50,events,/list,97,200,False
2026-01-01 00:22:54,payments,/checkout,346,200,False
2026-01-01 00:22:54,events,/create,65,200,False
2026-01-01 00:23:04,auth,/register,172,200,False
2026-01-01 00:23:14,auth,/login,177,200,False
2026-01-01 00:23:22,payments,/checkout,284,200,False
2026-01-01 00:23:28,auth,/login,84,200,False
2026-01-01 00:23:32,events,/list,84,200,False
2026-01-01 00:23:36,auth,/login,102,200,False
2026-01-01 00:23:40,auth,/login,60,200,False
2026-01-01 00:23:43,auth,/login,65,200,False
2026-01-01 00:23:51,events,/update,121,200,False
2026-01-01 00:24:28,auth,/logout,47,200,False
2026-01-01 00:24:59,auth,/login,40,400,True
2026-01-01 00:25:02,auth,/login,62,200,False
2026-01-01 00:25:07,auth,/login,57,200,False
2026-01-01 00:25:13,events,/list,111,200,False
2026-01-01 00:25:24,auth,/login,116,200,False
2026-01-01 00:25:44,events,/list,107,200,False
2026-01-01 00:25:52,auth,/login,40,200,False
2026-01-01 00:25:54,auth,/logout,26,200,False
2026-01-01 00:26:28,events,/update,84,200,False
2026-01-01 00:26:34,auth,/register,101,200,False
2026-01-01 00:26:41,auth,/login,81,200,False
2026-01-01 00:27:04,auth,/login,78,200,False
2026-01-01 00:27:30,auth,/register,162,200,False
2026-01-01 00:27:36,auth,/login,81,200,False
2026-01-01 00:27:47,auth,/logout,48,200,False
2026-01-01 00:27:56,auth,/register,162,200,False
2026-01-01 00:27:56,auth,/login,66,200,False
2026-01-01 00:28:07,payments,/history,135,200,False
2026-01-01 00:29:34,events,/list,103,200,False
2026-01-01 00:29:36,auth,/login,62,200,False
2026-01-01 00:29:49,auth,/login,43,200,False
2026-01-01 00:30:05,events,/delete,50,200,False
2026-01-01 00:31:06,auth,/login,46,200,False
2026-01-01 00:31:54,auth,/reset-password,259,200,False
2026-01-01 00:32:19,events,/list,109,200,False
2026-01-01 00:32:27,auth,/login,72,200,False
2026-01-01 00:32:29,auth,/login,72,200,False
2026-01-01 00:32:32,auth,/login,86,200,False
2026-01-01 00:33:01,auth,/login,129,200,False
2026-01-01 00:33:08,payments,/history,87,200,False
2026-01-01 00:33:26,events,/list,94,200,False
2026-01-01 00:33:46,events,/create,96,200,False
2026-01-01 00:33:50,auth,/register,93,200,False
2026-01-01 00:33:51,events,/list,54,200,False
2026-01-01 00:33:52,payments,/history,90,200,False
2026-01-01 00:33:53,auth,/register,142,200,False
2026-01-01 00:34:11,auth,/login,105,200,False
2026-01-01 00:34:13,auth,/logout,19,200,False
2026-01-01 00:34:34,auth,/register,165,200,False
2026-01-01 00:34:48,auth,/logout,22,200,False
2026-01-01 00:34:49,auth,/logout,32,200,False
2026-01-01 00:34:50,events,/list,72,200,False
2026-01-01 00:34:51,events,/list,78,200,False
2026-01-01 00:34:51,events,/create,141,200,False
2026-01-01 00:35:28,events,/update,120,200,False
2026-01-01 00:35:46,payments,/checkout,331,403,True
2026-01-01 00:36:26,events,/list,144,200,False
2026-01-01 00:37:02,auth,/reset-password,289,200,False
2026-01-01 00:37:12,events,/list,103,200,False
2026-01-01 00:37:44,auth,/login,96,200,False
2026-01-01 00:38:01,auth,/login,70,200,False
2026-01-01 00:38:02,payments,/verify,176,200,False
2026-01-01 00:38:13,auth,/login,39,200,False
2026-01-01 00:38:34,payments,/refund,391,200,False
2026-01-01 00:38:48,auth,/login,72,200,False
2026-01-01 00:38:57,auth,/login,46,200,False
2026-01-01 00:39:07,events,/list,49,200,False
2026-01-01 00:39:20,auth,/login,47,200,False
2026-01-01 00:39:38,auth,/logout,38,200,False
2026-01-01 00:39:40,events,/create,107,200,False
2026-01-01 00:41:05,auth,/login,81,200,False
2026-01-01 00:41:27,auth,/login,116,200,False
2026-01-01 00:41:51,events,/create,128,200,False
2026-01-01 00:42:02,events,/list,55,200,False
2026-01-01 00:42:47,events,/list,79,200,False
2026-01-01 00:43:16,auth,/logout,24,200,False
2026-01-01 00:43:19,auth,/logout,39,200,False
2026-01-01 00:43:24,events,/list,98,200,False
2026-01-01 00:43:50,payments,/history,166,200,False
2026-01-01 00:43:53,auth,/login,54,200,False
2026-01-01 00:43:58,events,/list,85,200,False
2026-01-01 00:44:12,auth,/login,94,200,False
2026-01-01 00:44:16,payments,/checkout,442,200,False
2026-01-01 00:44:17,events,/update,108,200,False
2026-01-01 00:44:24,payments,/history,114,200,False
2026-01-01 00:44:25,payments,/verify,100,200,False
2026-01-01 00:44:28,events,/list,88,200,False
2026-01-01 00:44:52,auth,/login,66,200,False
2026-01-01 00:45:15,auth,/register,438,502,True
2026-01-01 00:45:33,payments,/checkout,247,200,False
2026-01-01 00:45:35,events,/delete,81,200,False
2026-01-01 00:46:07,payments,/history,132,200,False
2026-01-01 00:46:25,events,/list,97,200,False
2026-01-01 00:46:49,payments,/history,142,200,False
2026-01-01 00:46:50,auth,/login,76,200,False
2026-01-01 00:46:54,events,/list,73,200,False
2026-01-01 00:46:56,events,/list,95,200,False
2026-01-01 00:46:59,events,/create,82,200,False
2026-01-01 00:47:11,auth,/login,99,200,False
2026-01-01 00:47:24,auth,/login,79,200,False
2026-01-01 00:47:38,auth,/register,163,200,False
2026-01-01 00:47:44,auth,/reset-password,260,200,False
2026-01-01 00:48:06,events,/delete,46,200,False
2026-01-01 00:48:35,auth,/logout,25,200,False
2026-01-01 00:48:58,payments,/checkout,327,200,False
2026-01-01 00:49:29,payments,/refund,161,200,False
2026-01-01 00:49:31,auth,/login,66,200,False
2026-01-01 00:49:34,auth,/login,106,200,False
2026-01-01 00:50:16,payments,/refund,227,200,False
2026-01-01 00:50:35,events,/create,67,200,False
2026-01-01 00:50:38,events,/create,151,200,False
2026-01-01 00:50:44,auth,/login,48,200,False
2026-01-01 00:50:44,events,/create,90,200,False
2026-01-01 00:51:04,auth,/login,55,200,False
2026-01-01 00:52:05,auth,/reset-password,212,200,False
2026-01-01 00:52:06,payments,/checkout,188,200,False
2026-01-01 00:52:49,auth,/login,96,200,False
2026-01-01 00:53:04,auth,/login,66,503,True
2026-01-01 00:53:21,payments,/history,81,200,False
